SrNo.,Job ID,Institution,URL,list id,location,Job Title,advice,agency,agent,analytics,asset,authentication,automation,business,cash,chief,collaborative,connectivity,contract,corporate,credit,currency,cyber,data,development,digital,director,electronic,equity,executive,expertise,finance,financial,framework,fraud,funding,global,identity,income,information,insurance,integration,interest,internal,investment,investor,leader,legal,lending,liquidity,loan,loss,management,manager,managing,manual,market,network,officer,operating,operational,payment,personal,policy,portfolio,pricing,product,quality,rate,regulatory,reporting,research,resource,revenue,sale,security,senior,service,settlement,social,structure,system,tax,technology,trading,transaction
12, P198841,Discover Financials,https://jobs.discover.com/job/9211954/principal-solutions-architect-vendor-software-solutions-riverwoods-il/,1,"Riverwoods, IL","Principal Solutions Architect, Vendor Software Solutions",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0
13, P199060,Discover Financials,https://jobs.discover.com/job/9211956/lead-project-manager-riverwoods-il/,1,"Riverwoods, IL",Lead Project Manager,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14, P100242_S1,Discover Financials,https://jobs.discover.com/job/9211948/senior-executive-relationship-manager-technology-partnerships-remote/,1,Remote,Senior Executive Relationship Manager- Technology Partnerships,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,2
15, P134994_S3,Discover Financials,https://jobs.discover.com/job/9211951/senior-manager-compliance-programs-riverwoods-il/,1,"Riverwoods, IL",Senior Manager Compliance Programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16, P198209,Discover Financials,https://jobs.discover.com/job/9211953/lead-business-analyst-riverwoods-il/,1,"Riverwoods, IL",Lead Business Analyst,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
17, P199059,Discover Financials,https://jobs.discover.com/job/9211955/lead-project-manager-riverwoods-il/,1,"Riverwoods, IL",Lead Project Manager,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
18, P199146,Discover Financials,https://jobs.discover.com/job/9211957/lead-recovery-strategy-specialist-riverwoods-il/,1,"Riverwoods, IL",Lead Recovery Strategy Specialist,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19, P192700,Discover Financials,https://jobs.discover.com/job/9206123/senior-principal-talent-consultant-riverwoods-il/,1,"Riverwoods, IL",Senior Principal Talent Consultant,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
20, P190590_S2,Discover Financials,https://jobs.discover.com/job/9206122/talent-management-consultant-riverwoods-il/,1,"Riverwoods, IL",Talent Management Consultant,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
21, P199196,Discover Financials,https://jobs.discover.com/job/9208482/customer-service-representative-phoenix-az/,1,"Phoenix, AZ",Customer Service Representative,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
22, P138441_S2,Discover Financials,https://jobs.discover.com/job/8957385/talent-acquisition-hr-recruiter-west-valley-city-ut/,1,"West Valley City, UT",Talent Acquisition HR Recruiter,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23, P195606_S1,Discover Financials,https://jobs.discover.com/job/9201452/sr-manager-enterprise-data-architecture-riverwoods-il/,1,"Riverwoods, IL","Sr. Manager, Enterprise Data Architecture",0,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
24, P198731,Discover Financials,https://jobs.discover.com/job/9145751/senior-quality-engineer-riverwoods-il/,1,"Riverwoods, IL",Senior Quality Engineer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25, P120907_S3,Discover Financials,https://jobs.discover.com/job/9201451/senior-principal-cybersecurity-architect-riverwoods-il/,1,"Riverwoods, IL",Senior Principal Cybersecurity Architect,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,4,4,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0
26, P138762_S2,Discover Financials,https://jobs.discover.com/job/9204398/senior-aml-investigator-riverwoods-il/,1,"Riverwoods, IL",Senior AML Investigator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27, P198882,Discover Financials,https://jobs.discover.com/job/9204402/senior-credit-risk-analyst-riverwoods-il/,1,"Riverwoods, IL",Senior Credit Risk Analyst,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28, P199195,Discover Financials,https://jobs.discover.com/job/9204406/entry-level-fraud-representative-evening-phoenix-az/,1,"Phoenix, AZ","Entry Level, Fraud Representative (Evening)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29, P156729_S1,Discover Financials,https://jobs.discover.com/job/9204399/lead-programmer-riverwoods-il/,1,"Riverwoods, IL",Lead Programmer,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30, P178256_S1,Discover Financials,https://jobs.discover.com/job/9204401/senior-manager-information-security-governance-riverwoods-il/,1,"Riverwoods, IL",Senior Manager Information Security Governance,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31, P198883,Discover Financials,https://jobs.discover.com/job/9204403/principal-credit-risk-analyst-riverwoods-il/,1,"Riverwoods, IL",Principal Credit Risk Analyst,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32, P199138,Discover Financials,https://jobs.discover.com/job/9204405/principal-center-communications-new-castle-de/,1,"New Castle, DE",Principal Center Communications,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,b ID: 45760,Discover Financials,https://jobs.discover.com/job/8856024/discover-bank-inbound-sales-west-valley-city-ut/,1,"West Valley City, UT",Discover Bank – Inbound Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
